Time;Group;Etan;Glic;Frut;acCit;acSuc;acLat;acAce;Temp;pH;ProtSol;FenTot;AcuTot;AcRed
0;for;0,29;15,8;9,49;8,74;0,321;0;1,75;26,6;6,38;310;259;86,8;15,8
0;for;1,02;21,5;13,41;9,74;0;0,291;0,99;26,4;6,24;308;437;100,8;22,5
0;for;0,65;13,5;7,95;6,68;0;0,275;0,78;26,4;6,01;357;299;95,6;20,8
24;for;0,81;10,6;8,16;7,36;0,502;0,879;10,37;38,8;5,15;55;314;88,9;21,9
24;for;1,33;10,5;11,04;8,06;0,428;0,508;6,07;39;5,43;65;374;92;22,4
24;for;1,86;9,1;11,52;8,48;0,418;0,497;9,03;37,85;5,24;63;290;94;21,2
48;for;0,61;10;10,68;6,76;0,542;0,427;14,47;42,14;4,37;91;89;85,3;37,1
48;for;9,27;11,95;0,23;9,58;0,615;10,714;19,18;43,34;4,51;62;202;86,2;31,4
48;for;0,87;13,9;14,34;8,37;0,689;0,583;27,04;42,72;4,44;150;209;90,6;34,5
72;for;0,36;12,3;13,28;7,35;0,806;0,624;26,41;44,3;4,37;80;171;83,4;38,5
72;for;0,78;13,2;14,62;8,83;0,889;1,288;29,08;44,6;4,32;18;308;95,5;41,1
72;for;0,62;13;14,55;9,45;0,851;0,516;26,58;44,38;4,76;76;237;83,6;33,7
96;for;0,7;10,9;12,32;7,31;0,823;0,538;20,29;45,47;4,9;81;242;82,4;34,2
96;for;0,7;9,6;11,58;7,73;0,82;0,655;19,06;45,33;4,76;121;151;84,7;30,6
96;for;0,71;12,3;13,58;7,97;0,896;0,582;26,44;45,73;4,62;54;216;81,4;18,7
120;for;1,15;11;13,73;7,99;1,022;0,514;17,81;45,33;4,91;86;104;81,9;38
120;for;2,99;5,8;11,15;7,24;0,982;2,451;19,25;46,21;4,74;103;113;84,3;40,9
120;for;2,07;12,1;12,14;8,51;0,668;0;15,87;46,09;4,79;94;79;90,1;37,5
144;for;0,4;8,5;9,88;5,91;0,839;0,86;7,17;45,17;5,13;49;88;94,7;41,1
144;for;0,43;8,2;9,55;5,92;0,813;0,732;6,57;45,24;5,03;96;92;90,1;37,5
144;for;2,06;5,4;11,74;7,14;1,016;3,006;11,37;44,41;5,32;142;75;93,8;38,8
0;mix;0;0,4;0,67;6,48;0;0;0;26,6;5,81;125;329;93,4;27,6
0;mix;0;0,3;0,15;5,37;0;0;0;26,6;5,99;245;387;91,9;29,1
0;mix;0;0,3;0,9;7,06;0,479;0;0;26,7;6,72;320;400;101,1;30,6
24;mix;0,55;9,6;7,43;5,78;0,427;0,589;8,4;37,2;5,21;58;474;90,7;21,9
24;mix;0,58;13,5;10,47;7,51;0,6;0,865;7,81;35,4;5,3;58;173;68,6;15,4
24;mix;0,56;10,5;10,41;7,77;0,677;0,675;8,73;36,8;5,21;11;124;59,6;18,5
48;mix;1,85;14,9;13,99;8,78;0,822;1,143;26,27;41,14;4,46;66;209;80,1;25,4
48;mix;1,84;5,3;5,15;5,34;0,518;0,559;13,87;40,14;4,51;58;153;64,4;19
48;mix;1,86;10;11,45;6,56;0,67;0,789;18,74;40,36;4,52;77;224;82,2;22,4
72;mix;1,27;8,8;10,32;5,63;0,855;0,858;18,95;42,91;4,68;67;252;72,1;24,8
72;mix;1,26;9,7;98,5;5,92;0,736;0,563;25,43;42,76;4,61;59;255;80,6;24,2
72;mix;1,28;9,6;10,2;6,23;0,72;0,558;25,25;43;4,56;54;314;83,1;31,9
96;mix;2,04;7,1;8,46;5,72;0,92;1,127;23,06;47,81;4,56;118;261;79;27,5
96;mix;0,44;2,6;4,86;3,64;0,561;1,257;12,98;47,09;4,58;68;136;83,4;28,1
96;mix;2,81;2,3;6,39;5,76;0,883;2,472;20,37;47,93;4,5;92;236;77,1;35
120;mix;2,01;6,5;9,61;6,77;1,079;1,569;23,9;48,74;4,47;101;281;96,2;45,7
120;mix;1,19;9,5;10,91;6,34;1,029;0,744;22,47;42,77;4,53;123;96;88,5;32,5
120;mix;0,37;7,5;8,1;5,03;0,819;0,598;22,05;46;4,43;81;277;93;38,7
144;mix;2,58;5,9;0,66;5,33;0,717;0,671;21,86;46,78;4,55;105;131;88,5;40,4
144;mix;0,36;8,9;9,85;5,14;0,844;0,825;18,49;44,28;4,64;123;101;85,6;40,3
144;mix;4,8;7,2;7,97;5,04;0,879;0,711;21,11;44,7;4,54;45;139;93,7;46,4