OTUs;Kingdom;Phylum;Class;Order;Family;Genus;A;B;C;D;E;F;G;H;I;J;K;L;M;N
98_78820;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;4;2;1;2;0;1;0;3;1;1;0;0
98_78823;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;2;0;0;0;0;0;0;0;0;0;0;0;0
98_78823;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;1;2;0;0;3;2;0;0;0;0;0;0;0;0
98_7953;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;1;0;13;1;37;13;0;1;0;1;5;0;0;2
98_7953;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;NA;0;1;3;1;5;1;0;0;0;0;2;0;0;1
98_7953;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Saccharomycetaceae;Issatchenkia;1;0;1;1;0;0;0;0;0;0;0;0;0;0
98_7953;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;5;38;50;37;74;51;6;5;3;14;28;6;4;4
98_8;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;4;7;1;0;4;4;0;1;0;3;0;0;0;1
98_8;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;1;1;0;1;0;1;0;0;0;1;0;0;0;0
98_80584;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconobacter;1;2;4;1;1;3;1;0;1;2;0;0;0;0
98_80585;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;0;1;1;2;1;0;0;0;0;0;0;0;0
98_8087;Eukaryota;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;NA;0;0;0;0;2;0;0;0;0;0;0;0;0;0
98_8098;Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodosporidiobolus;1;8;1;2;0;1;0;0;0;2;0;2;0;3
98_813;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rouxiella;0;0;1;0;1;1;0;0;0;0;0;0;0;0
98_813;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;NA;2;1;0;0;0;0;0;0;0;0;0;0;0;0
98_813;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;2;3;1;4;1;3;0;0;0;0;1;1;0;0
98_81322;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;1;0;0;2;0;1;0;0;0;1;0;0;0;0
98_822;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Azospirillum;0;0;0;0;0;0;0;0;0;2;0;0;0;0
98_82994;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia;1;0;0;0;2;3;0;1;1;0;0;0;0;0
98_837;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;2;0;0;0;0;0;0;0;0;1;0;0;0;0
98_837;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;NA;11;10;1;3;3;2;0;0;0;1;2;0;0;1
98_84;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;1;11;3;3;3;6;0;2;0;1;0;0;0;0
98_843;Eukaryota;Mucoromycota;Mucorales;Mucorales;Mucoraceae;NA;0;3;2;0;0;1;0;0;0;0;0;0;0;0
98_844;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;6;1;4;0;1;0;0;1;1;2;0;0;0;0
98_844;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;NA;17;12;23;10;14;17;4;1;0;9;1;0;0;1
98_844;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;36;21;19;15;24;19;0;4;2;12;4;1;0;3
98_857;Eukaryota;Longamoebia;Longamoebia;Longamoebia;Acanthamoebidae;Acanthamoeba;3;1;0;1;1;3;0;3;3;5;0;1;2;0
98_85907;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;1;1;306;128;157;156;47;64;105;96;49;19;8;30
98_86028;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;0;1;1;1;1;0;0;0;0;0;0;0;0
98_86328;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;6;6;0;7;1;5;0;0;0;1;0;0;0;0
98_86694;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;Pantoea;5;5;9;2;6;1;0;0;2;1;0;0;0;0
98_86694;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Erwiniaceae;NA;1;0;1;0;0;0;0;0;0;0;0;0;0;0
98_87613;Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;CandidatusMidichloriaceae;NA;3;2;1;1;2;3;0;1;0;0;0;0;0;0
98_885;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;2;6;0;1;2;4;0;0;0;2;1;1;0;1
98_885;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;12;25;5;10;11;29;0;0;2;13;3;2;0;2
98_9;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;30;34;17;20;14;32;0;6;2;15;1;3;1;0
98_9;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;9;15;4;7;3;9;0;0;1;2;0;5;0;1
98_9;Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Hypocreaceae;Trichoderma;6;0;0;0;0;1;0;0;0;0;0;0;0;0
98_9;Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;5;9;1;4;4;9;0;0;1;0;0;8;0;1
98_9;Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;NA;NA;1;7;1;0;0;2;0;0;0;3;0;2;0;0
98_9033;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Ogataea;6;22;2;0;0;1;0;0;0;5;1;0;0;0
98_9101;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Kuraishia;Kuraishia;0;0;0;0;0;0;0;2;0;0;0;0;0;0
98_9103;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Nakazawaea;1;0;1;0;0;0;1;0;2;2;0;1;0;1
98_9104;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Kuraishia;Kuraishia;0;0;0;0;0;0;0;0;2;0;0;0;0;0
98_9117;Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales;Filobasidiaceae;NA;0;5;0;0;1;1;0;0;0;0;0;0;0;0
98_9117;Eukaryota;Basidiomycota;Tremellomycetes;Filobasidiales;NA;NA;1;0;0;0;0;0;0;0;1;0;0;0;0;0
98_9155;Eukaryota;Ascomycota;Sordariomycetes;NA;NA;NA;5;0;1;0;1;1;0;1;1;0;0;0;0;0
98_92183;Bacteria;Bacteroidetes;Chitinophagia;Chitinophagales;NA;NA;12;5;3;2;9;6;0;0;0;0;1;0;0;1
98_9289;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Salmonella;0;2;0;0;2;1;0;0;0;0;0;0;0;0
98_9289;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;1;0;0;0;1;0;0;0;0;0;0;0;1
98_9289;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;NA;NA;1;4;1;0;0;2;0;0;0;0;0;1;0;0
98_93081;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;18;13;26;30;43;82;90;68;108;60;67;96
98_93081;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;2;3;8;3;8;3;10;9;14;7;8;15
98_933;Bacteria;Proteobacteria;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Paraburkholderia;5;0;0;0;1;0;0;0;0;0;0;0;0;0
98_9373;Eukaryota;Chytridiomycota;Chytridiomycetes;Chytridiales;NA;NA;4;2;0;4;1;1;0;2;0;2;1;1;0;0
98_9373;Eukaryota;NA;NA;NA;NA;NA;6;1;0;0;1;2;1;1;0;0;0;0;0;0
98_9421;Eukaryota;Basidiomycota;Microbotryomycetes;NA;NA;NA;4;0;3;1;2;1;0;0;0;0;0;0;0;0
98_96;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;0;0;0;0;4;0;0;0;0;0;0;0;0
98_974;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Kozakia;4;10;41;48;11;23;16;10;15;21;12;9;2;2
98_974;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;3;10;39;27;22;30;34;34;44;35;53;32;29;47
98_97655;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;1;0;23;8;18;13;6;2;12;5;6;1;1;0
98_97655;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;5;6;3;4;2;3;6;0;0;0;0;1
98_98772;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Psychrobacter;2;0;1;0;1;1;0;0;0;1;0;0;0;0
98_98772;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;NA;2;0;0;0;1;1;1;0;0;0;0;0;0;0
98_98823;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;1;0;1;0;0;0;0;0;0;0;0;0;0;0
98_99272;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;1;0;0;0;1;0;0;0;0;0;0;0;0;0
98_10494;Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Cryptococcaceae;Kwoniella;0;1;0;1;0;0;0;0;0;0;0;0;0;0
98_106;Eukaryota;Ascomycota;Sordariomycetes;Hypocreales;Nectriaceae;Fusarium;0;2;0;0;0;0;0;0;0;0;0;0;0;0
98_11530;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;0;0;0;0;0;0;0;0;1;1;0;0;0;0
98_1171;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Komagataeibacter;0;3;5;23;5;17;15;56;26;33;24;16;3;32
98_119063;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;2;0;2;1;0;0;0;0;0;0;0;0;0
98_1194;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;0;1;0;0;1;0;0;0;1;0;0;0;0;0
98_121985;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;0;0;6;4;6;21;6;38;28;42;16;37
98_126282;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;0;0;2;0;1;0;0;0;2;0;0;0;0
98_1338;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;2;0;0;0;0;0;0;0;0;0;0;3;0
98_136919;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;NA;NA;0;1;5;3;0;2;2;2;6;2;1;0;2;0
98_136919;Bacteria;Proteobacteria;Alphaproteobacteria;NA;NA;NA;0;0;0;1;1;0;0;2;0;0;1;0;0;0
98_13957;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Gluconacetobacter;0;2;2;2;1;1;6;21;7;4;5;9;1;9
98_140532;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;2;2;3;0;0;0;1;1;3;0;1;0
98_143;Eukaryota;Ascomycota;Schizosaccharomycetes;Schizosaccharomycetales;Schizosaccharomycetaceae;Schizosaccharomyces;0;1;2;0;1;2;0;0;0;0;1;0;0;0
98_150785;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Asaia;0;2;0;0;0;0;0;0;0;0;0;0;0;0
98_150785;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;1;2;3;0;2;1;1;1;2;3;0;0
98_151482;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;0;0;1;0;2;0;0;0;0;0;0;0;0
98_153743;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;10;0;0;0;0;0;0;0;0;0;0;0;0
98_1654;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Yersiniaceae;Rahnella;0;3;0;0;0;0;0;0;0;0;0;0;0;0
98_1825;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Novispirillum;0;3;0;0;0;1;0;1;0;1;0;0;0;0
98_18967;Eukaryota;Basidiomycota;NA;NA;NA;NA;0;4;0;0;0;2;0;0;0;1;0;0;0;0
98_2069;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Candida;Candida;0;0;2;0;0;0;0;1;0;0;0;0;0;0
98_21461;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Dipodascus;0;0;1;0;0;1;2;0;0;0;0;0;0;0
98_21462;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Dipodascus;0;0;1;0;1;2;1;0;0;0;2;0;0;0
98_217;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Morganella;0;1;0;2;1;2;0;1;0;0;0;1;0;0
98_2185;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;0;0;1;0;0;0;0;0;14;3;30;4
98_24338;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;0;1;3;1;0;0;0;0;1;0;0;0;0;0
98_24434;Eukaryota;Cercomonadida;Cercomonadida;Cercomonadida;Sainouridae;Cholamonas;0;3;0;0;0;2;0;0;0;0;0;0;0;0
98_25113;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;0;2;1;0;1;1;0;0;1;0;0;0;0;0
98_2574;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;6;0;2;1;10;0;0;0;1;0;0;0;1
98_2866;Eukaryota;NA;NA;NA;NA;NA;0;1;1;0;1;0;0;0;0;0;0;0;0;0
98_29564;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;NA;NA;0;1;0;0;0;0;0;0;0;0;0;0;0;1
98_3093;Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;0;0;0;0;0;0;2;0;0;0;0;0;0;0
98_3429;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Mannheimia;0;0;0;1;1;0;0;2;0;0;0;0;0;0
98_345;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Paenibacillus;0;2;0;1;0;1;0;0;0;1;0;0;0;0
98_38975;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;0;2;0;0;0;0;0;0;0;0;0;0;0;0
98_38975;Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;NA;0;2;0;0;0;0;0;0;0;0;0;0;0;0
98_4349;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Pichiaceae;Pichia;0;0;4;6;0;0;0;0;0;0;1;0;0;0
98_4385;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Starmerella;Starmerella;0;2;0;0;0;0;0;0;0;0;0;0;0;0
98_4499;Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcus;0;0;0;0;0;0;2;1;0;1;0;0;0;0
98_4634;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;NA;0;1;0;0;0;0;0;1;2;0;0;0;0;0
98_5147;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Rhodospirillum;0;1;5;1;0;4;0;2;0;0;0;0;0;0
98_5294;Eukaryota;Basidiomycota;Microbotryomycetes;Sporidiobolales;Sporidiobolaceae;Rhodotorula;0;1;0;0;0;1;0;1;0;0;0;0;0;0
98_54107;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;1;0;1;2;5;11;21;25;21;14;21;20
98_5491;Eukaryota;Basidiomycota;Tremellomycetes;Tremellales;Bulleribasidiaceae;NA;0;1;0;1;1;2;0;0;0;0;0;2;0;1
98_553;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Curtobacterium;0;1;2;0;0;1;2;0;0;1;0;1;0;0
98_5687;Eukaryota;Ascomycota;NA;NA;NA;NA;0;0;0;0;0;1;1;0;0;0;0;1;0;0
98_5964;Eukaryota;Bacillariophyta;NA;NA;NA;NA;0;1;0;0;0;0;0;0;0;0;1;2;0;0
98_6079;Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalkalivibrio;0;2;7;5;11;3;3;3;8;7;14;2;6;2
98_6913;Eukaryota;Colpodellidae;Colpodellidae;Colpodellidae;NA;NA;0;0;0;0;0;2;0;0;0;0;0;2;0;0
98_6977;Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Caulobacteraceae;Asticcacaulis;0;0;0;0;0;0;0;0;5;1;0;0;0;0
98_77410;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Komagataeibacter;0;2;7;31;0;13;16;62;20;37;15;17;4;30
98_8337;Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;0;2;0;0;0;0;0;0;0;0;0;0;0;0
98_8673;Eukaryota;NA;NA;NA;NA;NA;0;0;0;3;0;0;0;1;0;3;0;0;0;0
98_112;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0;0;0;0;0;0;7;0;7;0;0;0;0;0
98_121386;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;0;3;16;15;37;79;43;98;138;78;94;84
98_127318;Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus;0;0;2;0;0;0;0;0;0;0;0;0;0;0
98_137;Eukaryota;Ascomycota;NA;NA;NA;NA;0;0;0;0;0;0;0;2;0;0;0;0;0;0
98_13958;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;0;0;0;0;0;1;1;1;0;0;0;1
98_143170;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;1;0;5;5;7;18;7;35;33;32;17;24
98_14709;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Dipodascus;0;0;1;0;0;1;0;0;0;0;0;0;0;0
98_1483;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acidiphilium;0;0;0;1;0;0;0;2;0;0;0;0;2;2
98_15544;Eukaryota;Thaumatomonadida;Thaumatomonadida;Thaumatomonadida;NA;NA;0;0;1;0;0;0;0;0;0;0;0;0;0;1
98_16062;Bacteria;Proteobacteria;Gammaproteobacteria;Cellvibrionales;Cellvibrionaceae;NA;0;0;1;2;0;0;0;0;0;0;0;0;0;0
98_16098;Bacteria;NA;NA;NA;NA;NA;0;0;2;0;0;0;0;0;0;0;0;0;0;0
98_2120;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;1;0;2;2;0;0;0;2;43;9;87;8
98_2130;Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Bradyrhizobiaceae;Bosea;0;0;0;0;0;0;0;0;0;0;1;1;0;0
98_21685;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;3;0;0;0;0;0;0;0;0;0;0;0
98_23942;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;NA;NA;0;0;0;0;0;0;0;0;0;0;0;0;2;0
98_26082;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Komagataeibacter;0;0;1;3;2;1;1;6;18;6;8;1;0;5
98_26884;Bacteria;NA;NA;NA;NA;NA;0;0;1;1;0;1;0;1;0;2;1;0;0;1
98_295;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Thalassospira;0;0;3;1;2;2;1;10;1;22;8;8;8;12
98_3029;Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;0;0;1;0;0;0;0;0;0;1;0;0;0;0
98_3562;Eukaryota;Ascomycota;Saccharomycetes;Saccharomycetales;Dipodascaceae;Geotrichum;0;0;0;0;0;6;0;1;0;0;0;0;0;1
98_36516;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;1;0;1;0;0;1;4;0;0;0;0;0
98_407;Bacteria;Proteobacteria;Gammaproteobacteria;Pasteurellales;Pasteurellaceae;Pasteurella;0;0;0;0;1;0;0;0;0;0;0;1;0;0
98_4330;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;0;0;4;2;7;6;7;10;7;6;0;1
98_4330;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;3;1;4;1;5;22;15;26;25;29;15;20
98_4960;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Rhodospirillaceae;Phaeospirillum;0;0;1;0;0;0;0;0;2;4;1;0;0;1
98_525;Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;0;0;1;0;6;1;7;10;14;11;58;16;33;10
98_54108;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Acetobacter;0;0;0;0;2;3;2;5;2;13;11;11;5;5
98_54108;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;0;0;0;0;2;1;1;3;4;1;3;1
98_5514;Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;NA;0;0;1;0;1;0;0;0;0;0;0;0;0;0
98_5520;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Belnapia;0;0;0;1;1;0;1;0;2;2;3;1;3;0
98_5520;Bacteria;Proteobacteria;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;NA;0;0;0;1;0;1;2;1;4;3;2;4;9;2
